name
ckan
ajenti
ansible
astropy
autobahn-python
aws-cli
beets
biopython
blaze
bokeh
boto
boto3
buildbot
bup
calibre
celery
certbot
ckan
cobbler
curator
compose
conda
CouchPotatoServer
cryptography
cython
django
django-allauth
django-blog-zinnia
django-cms
django-extensions
django-haystack
django-oscar
django-rest-framework
django-shop
django-tastypie
docker-py
edx-platform
elastalert
electrum
erpnext
eve
fail2ban
faker
falcon
flask
fonttools
gensim
gevent
glances
google-cloud-python
headphones
home-assistant
hue
ipython
jinja
jupyterhub
kafka-python
kivy
livestreamer
luigi
matplotlib
mongoengine
mezzanine
mitmproxy
mongo-python-driver
mopidy
mrjob
munki
mypy
networkx
paramiko
nova
numba
nupic
OctoPrint
orange3
pandas
peewee
pelican
picard
pika
Pillow
pip
platform_development
play1
psutil
pwntools
pyethereum
pyinstaller
pymc3
pyramid
pyzmq
qutebrowser
ranger
raven-python
readthedocs.org
redash
you-get
robotframework
s3cmd
saleor
salt
scikit-image
scikit-learn
scipy
scrapy
securedrop
security_monkey
sentry
Sick-Beard
SiCKRAGE
spaCy
spinnaker
sqlalchemy
sqlmap
st2
supervisor
swift
sympy
synapse
Theano
thumbor
tornado
tribler
troposphere
twisted
w3af
wagtail
WeasyPrint
web2py
aiohttp
werkzeug
youtube-dl
zipline
