"Repository","Average Project MI","Total Project SLOC","Total Project Comments","Total Project Comment-to-SLOC Ratio","Total Modules in Project","Total Refactor Msgs","Total Convention Msgs","Repo Commit Count","Repo Contributer Count","Repo Release Count","Repo URL","Repo Stars Count","Repo Watchers Count","Repo Latest Tag","Repo Latest Commit","Repo Created Date","Repo Last Push Date","Repo Languages","Repo Topics","Repo Description"
"pyramid","70.25","85302","8782","10.29%","238","452","1962","11187","258","137","https://github.com/Pylons/pyramid","3009","176","1.10.1","aa6f92b4584081c42410b87fa6d9d246f659f2c0","2010-10-24 00:00:00","2018-11-27 00:00:00","[{""loc"": 2076106, ""ratio"": 1.0, ""language"": ""Python""}]","""[\""pylons\"", \""pyramid\"", \""python\"", \""web-framework\"", \""wsgi\""]""","Pyramid - A Python web framework"
"ranger","45.74","44487","4222","9.49%","71","109","670","3883","124","47","https://github.com/ranger/ranger","4765","142","v1.9.2","d8047529f0ea0df007007ab5b3ef19363a6491e6","2009-06-04 00:00:00","2018-12-24 00:00:00","[{""loc"": 596883, ""ratio"": 0.9788481438418055, ""language"": ""Python""}, {""loc"": 8487, ""ratio"": 0.013918111584322896, ""language"": ""Shell""}, {""loc"": 4223, ""ratio"": 0.006925437165146176, ""language"": ""Makefile""}, {""loc"": 188, ""ratio"": 0.00030830740872542765, ""language"": ""Dockerfile""}]","""[\""console\"", \""file-launcher\"", \""file-manager\"", \""file-preview\"", \""vim\""]""","A VIM-inspired filemanager for the console"
"raven-python","87.02","1474","124","8.41%","17","20","66","3582","283","186","https://github.com/getsentry/raven-python","1585","162","v0.7.0","2d55add71f3a4d4cbb86ba56770b0e5038cb57cf","2011-10-06 00:00:00","2018-12-19 00:00:00","[{""loc"": 473739, ""ratio"": 0.9944748945674695, ""language"": ""Python""}, {""loc"": 1868, ""ratio"": 0.003921313430078657, ""language"": ""Shell""}, {""loc"": 663, ""ratio"": 0.0013917723790910865, ""language"": ""Makefile""}, {""loc"": 101, ""ratio"": 0.00021201962336078392, ""language"": ""HTML""}]","""[\""crash-reporting\"", \""crash-reports\"", \""monitoring\"", \""python\"", \""sentry\"", \""sentry-client\""]""","Raven is the legacy Python client for Sentry (getsentry.com) — replaced by sentry-python"
"salt","45.69","3131332","264188","8.43%","1387","7814","18043","101678","338","173","https://github.com/saltstack/salt","9481","608","v2018.11","3290cf99626e02b7ce7b0fdf8fb79fb11a24e1a5","2011-02-20 00:00:00","2018-12-25 00:00:00","[{""loc"": 34415103, ""ratio"": 0.9801918390465734, ""language"": ""Python""}, {""loc"": 446451, ""ratio"": 0.012715569287535816, ""language"": ""Shell""}, {""loc"": 62642, ""ratio"": 0.0017841346336100012, ""language"": ""SaltStack""}, {""loc"": 59180, ""ratio"": 0.0016855318734561456, ""language"": ""NSIS""}, {""loc"": 53935, ""ratio"": 0.0015361466981219534, ""language"": ""Batchfile""}, {""loc"": 36561, ""ratio"": 0.001041310084917711, ""language"": ""PowerShell""}, {""loc"": 28643, ""ratio"": 0.0008157940089794589, ""language"": ""HTML""}, {""loc"": 5525, ""ratio"": 0.00015735997973716128, ""language"": ""Scheme""}, {""loc"": 781, ""ratio"": 0.00002224400799542497, ""language"": ""Ruby""}, {""loc"": 713, ""ratio"": 0.000020307269783275293, ""language"": ""Makefile""}, {""loc"": 493, ""ratio"": 0.000014041352038085159, ""language"": ""C""}, {""loc"": 191, ""ratio"": 0.000005439955860596887, ""language"": ""Roff""}, {""loc"": 187, ""ratio"": 0.0000053260300834116126, ""language"": ""Dockerfile""}, {""loc"": 174, ""ratio"": 0.000004955771307559468, ""language"": ""HCL""}]","""[\""cloud-management\"", \""cloud-providers\"", \""cloud-provisioning\"", \""configuration-management\"", \""event-management\"", \""event-stream\"", \""infrastructure-management\"", \""python\"", \""remote-execution\"", \""zeromq\""]""","Software to automate the management and configuration of any infrastructure or application at scale. Get access to the Salt software package repository here:"
"scikit-image","53.87","187819","18113","9.64%","190","499","3629","10526","290","51","https://github.com/scikit-image/scikit-image","2717","178","v0.14.1","74e6221809e430130aca5c7e96e960b34d4ec282","2011-07-07 00:00:00","2018-12-24 00:00:00","[{""loc"": 2880282, ""ratio"": 0.9084085798359348, ""language"": ""Python""}, {""loc"": 158972, ""ratio"": 0.05013798258423245, ""language"": ""Objective-C""}, {""loc"": 78468, ""ratio"": 0.024747925530405054, ""language"": ""C""}, {""loc"": 44817, ""ratio"": 0.014134778234390622, ""language"": ""C++""}, {""loc"": 7606, ""ratio"": 0.0023988469386789627, ""language"": ""Shell""}, {""loc"": 545, ""ratio"": 0.00017188687635814287, ""language"": ""Makefile""}]","""[\""computer-vision\"", \""image-processing\"", \""python\""]""","Image processing in Python"
"scikit-learn","41.74","396109","55004","13.88%","239","1485","5021","23533","413","91","https://github.com/scikit-learn/scikit-learn","32458","2222","0.20.2","c83447b72c4f48ceb8249ea394ebf042618b8a2a","2010-08-17 00:00:00","2018-12-25 00:00:00","[{""loc"": 8161005, ""ratio"": 0.9276527886742086, ""language"": ""Python""}, {""loc"": 451891, ""ratio"": 0.05136597102033105, ""language"": ""C""}, {""loc"": 140428, ""ratio"": 0.015962301923346668, ""language"": ""C++""}, {""loc"": 22252, ""ratio"": 0.002529361255578019, ""language"": ""Shell""}, {""loc"": 17046, ""ratio"": 0.0019376007533068, ""language"": ""PowerShell""}, {""loc"": 3368, ""ratio"": 0.00038283699032836457, ""language"": ""Batchfile""}, {""loc"": 1488, ""ratio"": 0.0001691393829004176, ""language"": ""Makefile""}]","""[\""data-analysis\"", \""data-science\"", \""machine-learning\"", \""python\"", \""statistics\""]""","scikit-learn: machine learning in Python"
"scrapy","64.47","58768","3290","5.59%","160","381","1365","6813","296","82","https://github.com/scrapy/scrapy","30626","1847","1.6.0","fa1039f5b27162a02dbcc8ef4de7fa07ca36a51c","2010-02-22 00:00:00","2018-12-24 00:00:00","[{""loc"": 1337407, ""ratio"": 0.9967616966473685, ""language"": ""Python""}, {""loc"": 2076, ""ratio"": 0.0015472307848246173, ""language"": ""HTML""}, {""loc"": 2010, ""ratio"": 0.0014980413668099618, ""language"": ""Roff""}, {""loc"": 259, ""ratio"": 0.00019303120099690554, ""language"": ""Shell""}]","""[\""crawler\"", \""crawling\"", \""framework\"", \""python\"", \""scraping\""]""","Scrapy, a fast high-level web crawling & scraping framework for Python."
"sentry","87.38","10770","958","8.89%","47","66","685","23743","377","334","https://github.com/getsentry/sentry","19244","631","v1.13.5","06295f5d67d1c2952153518ecc1b1dd09d47df9c","2010-08-30 00:00:00","2018-12-25 00:00:00","[{""loc"": 40744126, ""ratio"": 0.9013895014243454, ""language"": ""Python""}, {""loc"": 3848556, ""ratio"": 0.08514228465825167, ""language"": ""JavaScript""}, {""loc"": 288064, ""ratio"": 0.0063728907901546995, ""language"": ""CSS""}, {""loc"": 241843, ""ratio"": 0.005350335437136827, ""language"": ""HTML""}, {""loc"": 65795, ""ratio"": 0.0014555944149155342, ""language"": ""Lua""}, {""loc"": 7089, ""ratio"": 0.00015683120005070632, ""language"": ""Makefile""}, {""loc"": 5775, ""ratio"": 0.00012776134578823938, ""language"": ""Shell""}, {""loc"": 217, ""ratio"": 0.000004800729356891419, ""language"": ""Ruby""}]","""[\""crash-reporting\"", \""crash-reports\"", \""csp-report\"", \""devops\"", \""django\"", \""error-logging\"", \""error-monitoring\"", \""monitoring\""]""","Sentry is cross-platform application monitoring, with a focus on error reporting."
"sqlalchemy","32.98","703340","50493","7.17%","158","2040","3645","11789","300","182","https://github.com/zzzeek/sqlalchemy","3257","160","rel_1_3_0b1","19590812c02945b776a85a709dd6345e30c0dd71","2013-05-25 00:00:00","2018-12-24 00:00:00","[{""loc"": 10503297, ""ratio"": 0.9956461264886991, ""language"": ""Python""}, {""loc"": 45930, ""ratio"": 0.004353873511300875, ""language"": ""C""}]","""[]""","THIS IS NOT THE OFFICIAL REPO - PLEASE SUBMIT PRs ETC AT: http://github.com/sqlalchemy/sqlalchemy"
"swift","37.13","523880","74937","14.30%","131","1159","1956","7986","283","90","https://github.com/openstack/swift","1842","327","2.20.0","fe067413b1fb61cdfba97d543189c5a01230b45c","2010-07-22 00:00:00","2018-12-22 00:00:00","[{""loc"": 11330594, ""ratio"": 0.9994186387538, ""language"": ""Python""}, {""loc"": 5966, ""ratio"": 0.0005262329228992911, ""language"": ""Shell""}, {""loc"": 625, ""ratio"": 0.00005512832330071354, ""language"": ""HTML""}]","""[\""api-server\""]""","OpenStack Storage (Swift)"
"sympy","31.16","2873930","232250","8.08%","636","14206","126716","34283","452","61","https://github.com/sympy/sympy","5422","309","sympy-1.3","74affdcc0dfcd5f18ff82a189cf7fae80d507206","2010-04-30 00:00:00","2018-12-24 00:00:00","[{""loc"": 26233656, ""ratio"": 0.9853713222234647, ""language"": ""Python""}, {""loc"": 366201, ""ratio"": 0.013755000964011839, ""language"": ""XSLT""}, {""loc"": 8513, ""ratio"": 0.00031975970356889463, ""language"": ""ANTLR""}, {""loc"": 7590, ""ratio"": 0.00028509058499799254, ""language"": ""Perl""}, {""loc"": 6164, ""ratio"": 0.00023152811145291514, ""language"": ""Shell""}, {""loc"": 868, ""ratio"": 0.00003260324476656884, ""language"": ""Dockerfile""}, {""loc"": 125, ""ratio"": 0.000004695167737121089, ""language"": ""Scheme""}]","""[\""computer-algebra\"", \""math\"", \""python\"", \""science\""]""","A computer algebra system written in pure Python"
"tornado","37.14","123535","21349","17.28%","42","326","620","3979","299","54","https://github.com/tornadoweb/tornado","17040","1086","v5.1.1","cc2cf078a39abec6f8d181f76a4e5ba9432364f3","2009-09-09 00:00:00","2018-12-23 00:00:00","[{""loc"": 1504864, ""ratio"": 0.9952468534460809, ""language"": ""Python""}, {""loc"": 4070, ""ratio"": 0.002691708150055785, ""language"": ""Shell""}, {""loc"": 1664, ""ratio"": 0.0011004919807599083, ""language"": ""C""}, {""loc"": 1428, ""ratio"": 0.000944412589257902, ""language"": ""Ruby""}, {""loc"": 25, ""ratio"": 0.000016533833845551505, ""language"": ""HTML""}]","""[\""asynchronous\"", \""python\""]""","Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed."
"web2py","37.78","903496","91844","10.16%","196","1555","73860","7741","169","69","https://github.com/web2py/web2py","1682","246","R-2.17.2","cda35fd48abac605416e4ed0c70aaedad10c8827","2008-11-07 00:00:00","2018-12-10 00:00:00","[{""loc"": 6866140, ""ratio"": 0.8939421615851487, ""language"": ""Python""}, {""loc"": 351405, ""ratio"": 0.045751433162130276, ""language"": ""HTML""}, {""loc"": 262694, ""ratio"": 0.034201639086218615, ""language"": ""JavaScript""}, {""loc"": 95499, ""ratio"": 0.012433562742562796, ""language"": ""Shell""}, {""loc"": 48265, ""ratio"": 0.006283897274000705, ""language"": ""CSS""}, {""loc"": 44882, ""ratio"": 0.005843445093788453, ""language"": ""Dockerfile""}, {""loc"": 5974, ""ratio"": 0.0007777893362660357, ""language"": ""PowerShell""}, {""loc"": 5884, ""ratio"": 0.0007660717198843914, ""language"": ""Makefile""}]","""[]""","Free and open source full-stack enterprise framework for agile development of secure database-driven web-based applications, written and programmable in Python."
"werkzeug","34.06","116937","7252","6.20%","37","348","718","3739","286","52","https://github.com/pallets/werkzeug","4444","236","0.14.1","6fc07fec6dfd21690c9909f8c7c8e744d55afba7","2010-10-18 00:00:00","2018-12-11 00:00:00","[{""loc"": 1133625, ""ratio"": 0.988042818893026, ""language"": ""Python""}, {""loc"": 6581, ""ratio"": 0.005735856029229246, ""language"": ""CSS""}, {""loc"": 6400, ""ratio"": 0.005578100377916301, ""language"": ""JavaScript""}, {""loc"": 738, ""ratio"": 0.0006432246998284735, ""language"": ""Makefile""}]","""[\""http\"", \""python\"", \""werkzeug\"", \""wsgi\""]""","The comprehensive WSGI web application library."
"youtube-dl","54.16","667075","33658","5.04%","809","1003","6879","16664","401","1015","https://github.com/rg3/youtube-dl","45187","1660","2018.12.17","4cee62ade0d991eedb2feae927c44370be3c389e","2010-10-31 00:00:00","2018-12-24 00:00:00","[{""loc"": 5284961, ""ratio"": 0.996504759688794, ""language"": ""Python""}, {""loc"": 8773, ""ratio"": 0.0016541912526411814, ""language"": ""Shell""}, {""loc"": 5464, ""ratio"": 0.0010302634223676524, ""language"": ""Makefile""}, {""loc"": 4300, ""ratio"": 0.0008107856361970911, ""language"": ""AngelScript""}]","""[]""","Command-line program to download videos from YouTube.com and other video sites"
