"Repository","Average Project MI","Total Project SLOC","Total Project Comments","Total Project Comment-to-SLOC Ratio","Total Modules in Project","Total Refactor Msgs","Total Convention Msgs","Repo Commit Count","Repo Contributer Count","Repo Release Count","Repo URL","Repo Stars Count","Repo Watchers Count","Repo Latest Tag","Repo Latest Commit","Repo Created Date","Repo Last Push Date","Repo Languages","Repo Topics","Repo Description"
"conda","44.82","260363","42755","16.42%","160","660","3291","13283","207","223","https://github.com/conda/conda","2600","176","4.6.0b1","1471f043eed980d62f46944e223f0add6a9a790b","2012-10-15 00:00:00","2018-12-20 00:00:00","[{""loc"": 2254611, ""ratio"": 0.9808196020274059, ""language"": ""Python""}, {""loc"": 28529, ""ratio"": 0.012410922516673547, ""language"": ""Shell""}, {""loc"": 7280, ""ratio"": 0.0031670060612493754, ""language"": ""PowerShell""}, {""loc"": 5352, ""ratio"": 0.002328271488984431, ""language"": ""Batchfile""}, {""loc"": 2640, ""ratio"": 0.0011484747255080152, ""language"": ""Makefile""}, {""loc"": 289, ""ratio"": 0.00012572318017871833, ""language"": ""Jupyter Notebook""}]","""[\""conda\"", \""package-management\""]""","OS-agnostic, system-level binary package manager and ecosystem"
"cython","31.02","1183863","150879","12.74%","114","1718","8322","14562","267","141","https://github.com/cython/cython","3718","217","0.29.2","433e6992ca89e0c7059b87cbae0e9536f11aa58f","2010-11-21 00:00:00","2018-12-24 00:00:00","[{""loc"": 6136536, ""ratio"": 0.9003568394073012, ""language"": ""Python""}, {""loc"": 628974, ""ratio"": 0.0922835037078521, ""language"": ""C""}, {""loc"": 29617, ""ratio"": 0.004345426884601678, ""language"": ""C++""}, {""loc"": 11963, ""ratio"": 0.0017552196988381628, ""language"": ""Emacs Lisp""}, {""loc"": 3803, ""ratio"": 0.0005579788108903731, ""language"": ""PowerShell""}, {""loc"": 1924, ""ratio"": 0.0002822906211288661, ""language"": ""Makefile""}, {""loc"": 1429, ""ratio"": 0.00020966387608791563, ""language"": ""Batchfile""}, {""loc"": 807, ""ratio"": 0.00011840360252130715, ""language"": ""sed""}, {""loc"": 618, ""ratio"": 0.00009067339077839878, ""language"": ""Smalltalk""}]","""[\""big-data\"", \""c\"", \""cpp\"", \""cpython\"", \""cpython-extensions\"", \""cython\"", \""performance\"", \""python\""]""","The most widely used Python to C compiler"
"django","57.28","485681","63020","12.97%","663","1720","5671","26430","402","202","https://github.com/django/django","38408","2138","2.1.4","f1374f34da90e1d16e272c89ac07786e907e3778","2012-04-28 00:00:00","2018-12-24 00:00:00","[{""loc"": 12868737, ""ratio"": 0.9577669648564012, ""language"": ""Python""}, {""loc"": 257097, ""ratio"": 0.019134668255609402, ""language"": ""JavaScript""}, {""loc"": 224316, ""ratio"": 0.01669491376571986, ""language"": ""HTML""}, {""loc"": 84974, ""ratio"": 0.006324263995115281, ""language"": ""CSS""}, {""loc"": 809, ""ratio"": 0.00006021052995090572, ""language"": ""Shell""}, {""loc"": 130, ""ratio"": 0.00000967536328012082, ""language"": ""Smarty""}, {""loc"": 125, ""ratio"": 0.000009303233923193096, ""language"": ""Makefile""}]","""[\""apps\"", \""django\"", \""framework\"", \""models\"", \""orm\"", \""python\"", \""templates\"", \""views\"", \""web\""]""","The Web framework for perfectionists with deadlines."
"django-rest-framework","50.68","77488","7249","9.35%","60","241","504","7879","396","110","https://github.com/encode/django-rest-framework","12575","522","3.9.0","75edc4f0ecbfc8a1d416ac1e1eb0ea1fe70f06a4","2011-03-02 00:00:00","2018-12-24 00:00:00","[{""loc"": 1294037, ""ratio"": 0.8998710036334556, ""language"": ""Python""}, {""loc"": 86061, ""ratio"": 0.05984666469637176, ""language"": ""HTML""}, {""loc"": 39720, ""ratio"": 0.02762121659915509, ""language"": ""CSS""}, {""loc"": 18207, ""ratio"": 0.012661115071017541, ""language"": ""JavaScript""}]","""[\""api\"", \""django\"", \""python\"", \""rest\""]""","Web APIs for Django. ⚡️"
"electrum","39.41","425576","38900","9.14%","165","722","9860","9929","225","125","https://github.com/spesmilo/electrum","3142","261","3.3.3","084a2f60aedd2d1c9de5b36105bad641b7549f3d","2012-08-02 00:00:00","2018-12-24 00:00:00","[{""loc"": 2298310, ""ratio"": 0.9823579822917312, ""language"": ""Python""}, {""loc"": 23485, ""ratio"": 0.010038105048544934, ""language"": ""Shell""}, {""loc"": 7316, ""ratio"": 0.0031270503102045874, ""language"": ""NSIS""}, {""loc"": 6379, ""ratio"": 0.002726551931218571, ""language"": ""Dockerfile""}, {""loc"": 2929, ""ratio"": 0.0012519314322839306, ""language"": ""Java""}, {""loc"": 877, ""ratio"": 0.0003748528050915013, ""language"": ""Makefile""}, {""loc"": 289, ""ratio"": 0.00012352618092524955, ""language"": ""GLSL""}]","""[]""","Electrum; Bitcoin thin client"
"fail2ban","48.41","84340","25958","30.77%","42","157","2494","4864","168","222","https://github.com/fail2ban/fail2ban","3640","240","debian/0.10.2-2","5273fd34a59a521a7d67d620d4194bf4ea58bc64","2011-09-28 00:00:00","2018-12-19 00:00:00","[{""loc"": 994060, ""ratio"": 0.9534616048648545, ""language"": ""Python""}, {""loc"": 28198, ""ratio"": 0.027046365746513458, ""language"": ""Shell""}, {""loc"": 20322, ""ratio"": 0.019492029388632048, ""language"": ""Perl""}]","""[\""anti-bot\"", \""attack-prevention\"", \""ban-hosts\"", \""bsd\"", \""fail2ban\"", \""gplv2\"", \""ids\"", \""intrusion-detection\"", \""intrusion-prevention\"", \""ips\"", \""linux\"", \""macos\"", \""python\"", \""security\""]""","Daemon to ban hosts that cause multiple authentication errors"
"luigi","53.56","68973","10215","14.81%","57","299","1136","3722","364","44","https://github.com/spotify/luigi","10661","511","v1.2.1","a6e5eb1a9b0b1ea74ebc574026dfa5e168f5195f","2012-09-20 00:00:00","2018-12-20 00:00:00","[{""loc"": 2012803, ""ratio"": 0.9013847664051962, ""language"": ""Python""}, {""loc"": 170555, ""ratio"": 0.07637889988947663, ""language"": ""JavaScript""}, {""loc"": 41976, ""ratio"": 0.018797928537777675, ""language"": ""HTML""}, {""loc"": 5051, ""ratio"": 0.0022619672442423058, ""language"": ""CSS""}, {""loc"": 2627, ""ratio"": 0.0011764379233071744, ""language"": ""Shell""}]","""[\""hadoop\"", \""luigi\"", \""orchestration-framework\"", \""python\"", \""scheduling\""]""","Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution, workflow management, visualization etc. It also comes with Hadoop support built in. "
"matplotlib","28.85","943406","104780","11.10%","173","1926","12142","28144","433","76","https://github.com/matplotlib/matplotlib","8404","532","v3.0.2","8858a0d1bdd149a0897789e8503ac586be14676d","2011-02-19 00:00:00","2018-12-24 00:00:00","[{""loc"": 6329067, ""ratio"": 0.8792036435791447, ""language"": ""Python""}, {""loc"": 634112, ""ratio"": 0.08808779885522758, ""language"": ""C++""}, {""loc"": 94988, ""ratio"": 0.01319527754980249, ""language"": ""Jupyter Notebook""}, {""loc"": 81707, ""ratio"": 0.011350344704191183, ""language"": ""Objective-C""}, {""loc"": 24707, ""ratio"": 0.003432177984829348, ""language"": ""JavaScript""}, {""loc"": 21119, ""ratio"": 0.0029337502271263613, ""language"": ""C""}, {""loc"": 5382, ""ratio"": 0.0007476416365544806, ""language"": ""CSS""}, {""loc"": 4006, ""ratio"": 0.0005564943136449739, ""language"": ""HTML""}, {""loc"": 2072, ""ratio"": 0.00028783230600908284, ""language"": ""Shell""}, {""loc"": 1150, ""ratio"": 0.00015975248644326507, ""language"": ""Batchfile""}, {""loc"": 326, ""ratio"": 0.00004528635702652558, ""language"": ""TeX""}]","""[]""","matplotlib: plotting with Python"
"mitmproxy","56.21","148319","8312","5.60%","202","488","3357","7984","249","52","https://github.com/mitmproxy/mitmproxy","13531","519","v4.0.4","5c27805be7e5131b8717cd050197a237744f9c22","2010-02-16 00:00:00","2018-12-19 00:00:00","[{""loc"": 1812002, ""ratio"": 0.8502903982517448, ""language"": ""Python""}, {""loc"": 277098, ""ratio"": 0.1300295301963033, ""language"": ""JavaScript""}, {""loc"": 20955, ""ratio"": 0.00983323158327933, ""language"": ""CSS""}, {""loc"": 14747, ""ratio"": 0.006920098599790994, ""language"": ""HTML""}, {""loc"": 4711, ""ratio"": 0.0022106587443965126, ""language"": ""Shell""}, {""loc"": 1031, ""ratio"": 0.00048380156346270527, ""language"": ""Dockerfile""}, {""loc"": 495, ""ratio"": 0.00023228106102234636, ""language"": ""PowerShell""}]","""[\""http\"", \""http2\"", \""man-in-the-middle\"", \""proxy\"", \""python\"", \""security\"", \""ssl\"", \""tls\"", \""websocket\""]""","An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers."
"mongo-python-driver","43.62","117448","14612","12.44%","62","418","471","4181","132","117","https://github.com/mongodb/mongo-python-driver","2605","257","3.7.2","7ddd372ed051c57e4094e09430d2e5c22bc5f961","2009-01-15 00:00:00","2018-12-24 00:00:00","[{""loc"": 2259526, ""ratio"": 0.9085377033782175, ""language"": ""Python""}, {""loc"": 217749, ""ratio"": 0.08755516704516943, ""language"": ""C""}, {""loc"": 9717, ""ratio"": 0.003907129576613033, ""language"": ""Shell""}]","""[]""","PyMongo - the Python driver for MongoDB"
