ansible,lib.ansible.executor.action_write_locks.py,invalid-name,C,3
ansible,lib.ansible.executor.task_result.py,line-too-long,C,7
ansible,lib.ansible.executor.task_result.py,missing-docstring,C,7
ansible,lib.ansible.executor.task_result.py,invalid-name,C,2
ansible,lib.ansible.executor.task_result.py,no-else-return,R,2
ansible,lib.ansible.executor.process.__init__.py,missing-docstring,C,1
ansible,lib.ansible.executor.process.__init__.py,invalid-name,C,1
ansible,lib.ansible.executor.process.worker.py,line-too-long,C,3
ansible,lib.ansible.executor.process.worker.py,missing-docstring,C,1
ansible,lib.ansible.executor.process.worker.py,invalid-name,C,2
ansible,lib.ansible.executor.process.worker.py,wrong-import-position,C,4
ansible,lib.ansible.executor.process.worker.py,too-many-instance-attributes,R,1
ansible,lib.ansible.executor.process.worker.py,too-many-arguments,R,1
ansible,lib.ansible.executor.process.worker.py,ungrouped-imports,C,1
ansible,lib.ansible.compat.__init__.py,missing-docstring,C,1
ansible,lib.ansible.compat.__init__.py,invalid-name,C,1
ansible,lib.ansible.compat.selectors.__init__.py,missing-docstring,C,1
ansible,lib.ansible.compat.selectors.__init__.py,invalid-name,C,2
ansible,lib.ansible.compat.selectors.__init__.py,wrong-import-position,C,2
ansible,lib.ansible.compat.selectors._selectors2.py,missing-docstring,C,6
ansible,lib.ansible.compat.selectors._selectors2.py,invalid-name,C,20
ansible,lib.ansible.compat.selectors._selectors2.py,no-else-raise,R,2
ansible,lib.ansible.compat.selectors._selectors2.py,too-many-branches,R,1
ansible,lib.ansible.compat.selectors._selectors2.py,useless-object-inheritance,R,1
ansible,lib.ansible.compat.selectors._selectors2.py,no-self-use,R,1
ansible,lib.ansible.compat.selectors._selectors2.py,len-as-condition,C,2
ansible,lib.ansible.module_utils.heroku.py,line-too-long,C,3
ansible,lib.ansible.module_utils.heroku.py,missing-docstring,C,5
ansible,lib.ansible.module_utils.heroku.py,invalid-name,C,1
ansible,lib.ansible.module_utils.ibm_sa_utils.py,line-too-long,C,1
ansible,lib.ansible.module_utils.ibm_sa_utils.py,missing-docstring,C,4
ansible,lib.ansible.module_utils.ibm_sa_utils.py,invalid-name,C,3
ansible,lib.ansible.module_utils.dimensiondata.py,line-too-long,C,8
ansible,lib.ansible.module_utils.dimensiondata.py,missing-docstring,C,1
